#语料规模:2000万字||||||
#只列入出现次数大于50次的词||||||
#下载自www.cncorpus.org语料库在线网站||||||
||||||
||||||
id|词语|出现次数|频率|词类名称|词类标记|累积频率
1.0|的|744863.0|7.7946|助词|u|7.7946
2.0|了|129617.0|1.3564|助词|u|9.151
3.0|是|118382.0|1.2388|联系动词|vl|10.3898
4.0|在|115425.0|1.2079|介词|p|11.5977
5.0|和|79845.0|0.8355|连词|c|12.4332
6.0|一|78590.0|0.8224|数词|m|13.2556
7.0|这|65143.0|0.6817|代词|r|13.9373
8.0|有|53522.0|0.5601|动词|v|14.4974
9.0|他|52908.0|0.5537|代词|r|15.0511
10.0|我|52724.0|0.5517|代词|r|15.6028
11.0|也|47034.0|0.4922|副词|d|16.095
12.0|不|46950.0|0.4913|副词|d|16.5863
13.0|就|44145.0|0.462|副词|d|17.0483
14.0|着|40596.0|0.4248|助词|u|17.4731
15.0|中|40105.0|0.4197|方位名词|nd|17.8928
16.0|地|39440.0|0.4127|助词|u|18.3055
17.0|说|35047.0|0.3667|动词|v|18.6722
18.0|上|34850.0|0.3647|方位名词|nd|19.0369
19.0|都|34261.0|0.3585|副词|d|19.3954
20.0|人|33915.0|0.3549|名词|n|19.7503
21.0|个|31445.0|0.3291|量词|q|20.0794
22.0|把|28786.0|0.3012|介词|p|20.3806
23.0|你|28769.0|0.3011|代词|r|20.6817
24.0|种|28587.0|0.2991|量词|q|20.9808
25.0|对|28397.0|0.2972|介词|p|21.5752
26.0|而|28397.0|0.2972|连词|c|21.278
27.0|要|27324.0|0.2859|能愿动词|vu|21.8611
28.0|我们|26821.0|0.2807|代词|r|22.1418
29.0|又|25682.0|0.2687|副词|d|22.4105
30.0|来|25410.0|0.2659|趋向动词|vd|22.6764
31.0|一个|24497.0|0.2563|数量|mq|22.9327
32.0|从|23619.0|0.2472|介词|p|23.1799
33.0|年|21818.0|0.2283|时间名词|nt|23.4082
34.0|到|21665.0|0.2267|动词|v|23.6349
35.0|与|21385.0|0.2238|连词|c|23.8587
36.0|它|21038.0|0.2202|代词|r|24.0789
37.0|还|20735.0|0.217|副词|d|24.2959
38.0|大|20050.0|0.2098|形容词|a|24.5057
39.0|她|19914.0|0.2084|代词|r|24.7141
40.0|两|19340.0|0.2024|数词|m|24.9165
41.0|时|17995.0|0.1883|时间名词|nt|25.1048
42.0|他们|17783.0|0.1861|代词|r|25.2909
43.0|里|17774.0|0.186|方位名词|nd|25.4769
44.0|等|17336.0|0.1814|助词|u|25.6583
45.0|发展|17307.0|0.1811|动词|v|25.8394
46.0|那|17183.0|0.1798|代词|r|26.0192
47.0|很|16774.0|0.1755|副词|d|26.1947
48.0|可以|16724.0|0.175|能愿动词|vu|26.3697
49.0|使|16470.0|0.1723|动词|v|26.542
50.0|以|16316.0|0.1707|介词|p|26.7127
51.0|所|16191.0|0.1694|助词|u|26.8821
52.0|但|15959.0|0.167|连词|c|27.0491
53.0|得|14915.0|0.1561|助词|u|27.2052
54.0|去|14914.0|0.1561|动词|v|27.3613
55.0|自己|14793.0|0.1548|代词|r|27.5161
56.0|没有|14544.0|0.1522|动词|v|27.6683
57.0|为|14499.0|0.1517|联系动词|vl|27.82
58.0|为|14240.0|0.149|介词|p|27.969
59.0|能|13781.0|0.1442|能愿动词|vu|28.1132
60.0|看|13755.0|0.1439|动词|v|28.2571
61.0|什么|13585.0|0.1422|代词|r|28.3993
62.0|或|13574.0|0.142|连词|c|28.5413
63.0|被|13476.0|0.141|介词|p|28.6823
64.0|之|13299.0|0.1392|助词|u|28.8215
65.0|三|13208.0|0.1382|数词|m|28.9597
66.0|这个|13201.0|0.1381|代词|r|29.0978
67.0|小|12687.0|0.1328|形容词|a|29.2306
68.0|多|12028.0|0.1259|形容词|a|29.3565
69.0|后|12026.0|0.1258|方位名词|nd|29.4823
70.0|这样|11980.0|0.1254|代词|r|29.6077
71.0|会|11782.0|0.1233|能愿动词|vu|29.731
72.0|好|11743.0|0.1229|形容词|a|29.8539
73.0|社会|11461.0|0.1199|名词|n|29.9738
74.0|由|11367.0|0.1189|介词|p|30.0927
75.0|向|11351.0|0.1188|介词|p|30.2115
76.0|进行|11085.0|0.116|动词|v|30.3275
77.0|问题|10899.0|0.1141|名词|n|30.4416
78.0|下|10737.0|0.1124|方位名词|nd|30.554
79.0|呢|10391.0|0.1087|助词|u|30.6627
80.0|如|10312.0|0.1079|动词|v|30.7706
81.0|其|10199.0|0.1067|代词|r|30.8773
82.0|于|10159.0|0.1063|介词|p|30.9836
83.0|国家|10138.0|0.1061|名词|n|31.0897
84.0|这些|9967.0|0.1043|代词|r|31.194
85.0|工作|9655.0|0.101|名词|n|31.295
86.0|起来|9588.0|0.1003|趋向动词|vd|31.3953
87.0|生产|9419.0|0.0986|动词|v|31.4939
88.0|可|9361.0|0.098|能愿动词|vu|31.5919
89.0|并|9259.0|0.0969|连词|c|31.6888
90.0|就是|9195.0|0.0962|副词|d|31.785
91.0|新|9157.0|0.0958|形容词|a|31.8808
92.0|用|9062.0|0.0948|动词|v|31.9756
93.0|想|9028.0|0.0945|动词|v|32.0701
94.0|给|8985.0|0.094|介词|p|32.1641
95.0|不能|8834.0|0.0924|能愿动词|vu|32.2565
96.0|因为|8817.0|0.0923|连词|c|32.3488
97.0|生活|8694.0|0.091|名词|n|32.4398
98.0|经济|8680.0|0.0908|名词|n|32.5306
99.0|研究|8627.0|0.0903|动词|v|32.6209
100.0|更|8602.0|0.09|副词|d|32.7109
101.0|已|8600.0|0.09|副词|d|32.8009
102.0|几|8593.0|0.0899|数词|m|32.8908
103.0|用|8389.0|0.0878|介词|p|32.9786
104.0|却|8253.0|0.0864|副词|d|33.065
105.0|再|8199.0|0.0858|副词|d|33.1508
106.0|最|7957.0|0.0833|副词|d|33.2341
107.0|主要|7879.0|0.0824|形容词|a|33.3165
108.0|由于|7840.0|0.082|连词|c|33.3985
109.0|不同|7822.0|0.0819|形容词|a|33.4804
110.0|不是|7765.0|0.0813|联系动词|vl|33.5617
111.0|中国|7721.0|0.0808|地名|ns|33.6425
112.0|关系|7715.0|0.0807|名词|n|33.7232
113.0|人们|7702.0|0.0806|名词|n|33.8038
114.0|但是|7673.0|0.0803|连词|c|33.8841
115.0|才|7634.0|0.0799|副词|d|33.964
116.0|作用|7548.0|0.079|名词|n|34.043
117.0|则|7536.0|0.0789|连词|c|34.1219
118.0|现在|7527.0|0.0788|时间名词|nt|34.2007
119.0|所以|7512.0|0.0786|连词|c|34.2793
120.0|因此|7394.0|0.0774|连词|c|34.3567
121.0|如果|7369.0|0.0771|连词|c|34.4338
122.0|已经|7358.0|0.077|副词|d|34.5108
123.0|们|7283.0|0.0762|后接成分|k|34.587
124.0|重要|7135.0|0.0747|形容词|a|34.6617
125.0|各|7117.0|0.0745|代词|r|34.7362
126.0|我国|6948.0|0.0727|名词|n|34.8089
127.0|一些|6930.0|0.0725|数词|m|34.8814
128.0|情况|6922.0|0.0724|名词|n|34.9538
129.0|吧|6874.0|0.0719|助词|u|35.0257
130.0|二|6835.0|0.0715|数词|m|35.0972
131.0|知道|6773.0|0.0709|动词|v|35.1681
132.0|出|6742.0|0.0706|趋向动词|vd|35.2387
133.0|社会主义|6711.0|0.0702|名词|n|35.3089
134.0|做|6708.0|0.0702|动词|v|35.3791
135.0|必须|6701.0|0.0701|副词|d|35.4492
136.0|人民|6669.0|0.0698|名词|n|35.519
137.0|次|6612.0|0.0692|量词|q|35.5882
138.0|四|6600.0|0.0691|数词|m|35.6573
139.0|成|6592.0|0.069|动词|v|35.7263
140.0|走|6589.0|0.069|动词|v|35.7953
141.0|月|6530.0|0.0683|时间名词|nt|35.8636
142.0|方面|6518.0|0.0682|名词|n|35.9318
143.0|需要|6511.0|0.0681|动词|v|35.9999
144.0|吗|6503.0|0.0681|助词|u|36.068
145.0|时候|6500.0|0.068|名词|n|36.136
146.0|条件|6426.0|0.0672|名词|n|36.2032
147.0|思想|6358.0|0.0665|名词|n|36.2697
148.0|便|6351.0|0.0665|副词|d|36.3362
149.0|出来|6335.0|0.0663|趋向动词|vd|36.4025
150.0|发生|6315.0|0.0661|动词|v|36.4686
151.0|水|6283.0|0.0657|名词|n|36.5343
152.0|为了|6279.0|0.0657|介词|p|36.6
153.0|过程|6231.0|0.0652|名词|n|36.6652
154.0|只|6142.0|0.0643|副词|d|36.7295
155.0|而且|6116.0|0.064|连词|c|36.7935
156.0|当|6108.0|0.0639|介词|p|36.8574
157.0|科学|6101.0|0.0638|名词|n|36.9212
158.0|方法|6098.0|0.0638|名词|n|36.985
159.0|叫|6041.0|0.0632|动词|v|37.0482
160.0|内|6002.0|0.0628|方位名词|nd|37.111
161.0|技术|5978.0|0.0626|名词|n|37.1736
162.0|一般|5928.0|0.062|形容词|a|37.2356
163.0|许多|5904.0|0.0618|形容词|a|37.2974
164.0|吃|5893.0|0.0617|动词|v|37.3591
165.0|具有|5870.0|0.0614|动词|v|37.4205
166.0|高|5864.0|0.0614|形容词|a|37.4819
167.0|形成|5850.0|0.0612|动词|v|37.5431
168.0|对于|5845.0|0.0612|介词|p|37.6043
169.0|影响|5786.0|0.0605|动词|v|37.6648
170.0|时间|5736.0|0.06|名词|n|37.7248
171.0|事|5731.0|0.06|名词|n|37.7848
172.0|以后|5725.0|0.0599|时间名词|nt|37.8447
173.0|认为|5720.0|0.0599|动词|v|37.9046
174.0|也是|5715.0|0.0598|联系动词|vl|37.9644
175.0|世界|5697.0|0.0596|名词|n|38.024
176.0|过|5654.0|0.0592|助词|u|38.0832
177.0|它们|5634.0|0.059|代词|r|38.1422
178.0|通过|5596.0|0.0586|介词|p|38.2008
179.0|产生|5563.0|0.0582|动词|v|38.259
180.0|较|5557.0|0.0582|副词|d|38.3172
181.0|出现|5543.0|0.058|动词|v|38.3752
182.0|企业|5489.0|0.0574|名词|n|38.4326
183.0|各种|5414.0|0.0567|代词|r|38.4893
184.0|作|5387.0|0.0564|动词|v|38.5457
185.0|物质|5359.0|0.0561|名词|n|38.6018
186.0|同志|5334.0|0.0558|名词|n|38.6576
187.0|者|5323.0|0.0557|后接成分|k|38.7133
188.0|比|5314.0|0.0556|介词|p|38.7689
189.0|话|5293.0|0.0554|名词|n|38.8243
190.0|艺术|5266.0|0.0551|名词|n|38.8794
191.0|一样|5265.0|0.0551|形容词|a|38.9345
192.0|前|5252.0|0.055|方位名词|nd|38.9895
193.0|起|5244.0|0.0549|动词|v|39.0444
194.0|工业|5190.0|0.0543|名词|n|39.0987
195.0|一切|5156.0|0.054|代词|r|39.1527
196.0|开始|5137.0|0.0538|动词|v|39.2065
197.0|呀|5124.0|0.0536|助词|u|39.2601
198.0|见|5118.0|0.0536|动词|v|39.3137
199.0|可能|5116.0|0.0535|能愿动词|vu|39.3672
200.0|之间|5115.0|0.0535|方位名词|nd|39.4207
201.0|这里|5099.0|0.0534|代词|r|39.4741
202.0|还有|5091.0|0.0533|动词|v|39.5274
203.0|地方|5081.0|0.0532|名词|n|39.5806
204.0|你们|5072.0|0.0531|代词|r|39.6337
205.0|形式|5053.0|0.0529|名词|n|39.6866
206.0|运动|5052.0|0.0529|名词|n|39.7395
207.0|政治|5015.0|0.0525|名词|n|39.792
208.0|听|5009.0|0.0524|动词|v|39.8444
209.0|日|4990.0|0.0522|时间名词|nt|39.8966
210.0|五|4931.0|0.0516|数词|m|39.9482
211.0|以及|4884.0|0.0511|连词|c|39.9993
212.0|存在|4881.0|0.0511|动词|v|40.0504
213.0|提高|4868.0|0.0509|动词|v|40.1013
214.0|劳动|4863.0|0.0509|动词|v|40.1522
215.0|问|4801.0|0.0502|动词|v|40.2024
216.0|将|4791.0|0.0501|副词|d|40.2525
217.0|结构|4790.0|0.0501|名词|n|40.3026
218.0|成为|4790.0|0.0501|动词|v|40.3527
219.0|语言|4783.0|0.0501|名词|n|40.4028
220.0|发现|4777.0|0.05|动词|v|40.4528
221.0|天|4748.0|0.0497|时间名词|nt|40.5025
222.0|每|4744.0|0.0496|代词|r|40.5521
223.0|理论|4734.0|0.0495|名词|n|40.6016
224.0|性|4692.0|0.0491|后接成分|k|40.6507
225.0|外|4685.0|0.049|方位名词|nd|40.6997
226.0|打|4680.0|0.049|动词|v|40.7487
227.0|谁|4635.0|0.0485|代词|r|40.7972
228.0|没有|4620.0|0.0483|副词|d|40.8455
229.0|历史|4616.0|0.0483|名词|n|40.8938
230.0|学习|4613.0|0.0483|动词|v|40.9421
231.0|地区|4592.0|0.0481|名词|n|40.9902
232.0|第一|4590.0|0.048|数词|m|41.0382
233.0|根据|4588.0|0.048|介词|p|41.0862
234.0|让|4578.0|0.0479|介词|p|41.1341
235.0|教育|4569.0|0.0478|动词|v|41.1819
236.0|没|4525.0|0.0474|副词|d|41.2293
237.0|活动|4510.0|0.0472|动词|v|41.2765
238.0|作为|4508.0|0.0472|动词|v|41.3237
239.0|家|4486.0|0.0469|名词|n|41.3706
240.0|现象|4486.0|0.0469|名词|n|41.4175
241.0|将|4479.0|0.0469|介词|p|41.4644
242.0|即|4475.0|0.0468|副词|d|41.5112
243.0|要求|4471.0|0.0468|动词|v|41.558
244.0|东西|4464.0|0.0467|名词|n|41.6047
245.0|孩子|4459.0|0.0467|名词|n|41.6514
246.0|变化|4457.0|0.0466|动词|v|41.698
247.0|真|4435.0|0.0464|副词|d|41.7444
248.0|多|4429.0|0.0463|数词|m|41.7907
249.0|例如|4427.0|0.0463|动词|v|41.837
250.0|及|4408.0|0.0461|连词|c|41.8831
251.0|怎么|4403.0|0.0461|代词|r|41.9292
252.0|得到|4350.0|0.0455|动词|v|41.9747
253.0|表现|4338.0|0.0454|动词|v|42.0201
254.0|其他|4336.0|0.0454|代词|r|42.0655
255.0|受|4320.0|0.0452|动词|v|42.1107
256.0|儿|4309.0|0.0451|后接成分|k|42.1558
257.0|和|4292.0|0.0449|介词|p|42.2007
258.0|第二|4292.0|0.0449|数词|m|42.2456
259.0|有的|4276.0|0.0447|代词|r|42.2903
260.0|提出|4264.0|0.0446|动词|v|42.3349
261.0|图|4253.0|0.0445|名词|n|42.3794
262.0|决定|4238.0|0.0443|动词|v|42.4237
263.0|学生|4229.0|0.0443|名词|n|42.468
264.0|产品|4174.0|0.0437|名词|n|42.5117
265.0|建立|4167.0|0.0436|动词|v|42.5553
266.0|认识|4151.0|0.0434|动词|v|42.5987
267.0|一定|4137.0|0.0433|副词|d|42.642
268.0|还是|4104.0|0.0429|副词|d|42.6849
269.0|无|4101.0|0.0429|动词|v|42.7278
270.0|去|4088.0|0.0428|趋向动词|vd|42.7706
271.0|就是|4086.0|0.0428|联系动词|vl|42.8134
272.0|市场|4082.0|0.0427|名词|n|42.8561
273.0|虽然|4059.0|0.0425|连词|c|42.8986
274.0|精神|4058.0|0.0425|名词|n|42.9411
275.0|应|4034.0|0.0422|能愿动词|vu|42.9833
276.0|群众|4029.0|0.0422|名词|n|43.0255
277.0|意义|4010.0|0.042|名词|n|43.0675
278.0|民族|4006.0|0.0419|名词|n|43.1094
279.0|计划|4001.0|0.0419|名词|n|43.1513
280.0|增加|3988.0|0.0417|动词|v|43.193
281.0|应该|3984.0|0.0417|能愿动词|vu|43.2347
282.0|象|3980.0|0.0416|介词|p|43.2763
283.0|啦|3973.0|0.0416|助词|u|43.3179
284.0|同|3966.0|0.0415|介词|p|43.3594
285.0|笑|3963.0|0.0415|动词|v|43.4009
286.0|手|3943.0|0.0413|名词|n|43.4422
287.0|文化|3908.0|0.0409|名词|n|43.4831
288.0|条|3906.0|0.0409|量词|q|43.524
289.0|那么|3901.0|0.0408|代词|r|43.5648
290.0|利用|3890.0|0.0407|动词|v|43.6055
291.0|指|3865.0|0.0404|动词|v|43.6459
292.0|头|3853.0|0.0403|名词|n|43.6862
293.0|只有|3849.0|0.0403|连词|c|43.7265
294.0|十|3842.0|0.0402|数词|m|43.7667
295.0|特别|3837.0|0.0402|副词|d|43.8069
296.0|大家|3820.0|0.04|名词|n|43.8469
297.0|解决|3788.0|0.0396|动词|v|43.8865
298.0|管理|3787.0|0.0396|动词|v|43.9261
299.0|水平|3782.0|0.0396|名词|n|43.9657
300.0|商品|3776.0|0.0395|名词|n|44.0052
301.0|内容|3751.0|0.0393|名词|n|44.0445
302.0|能够|3749.0|0.0392|能愿动词|vu|44.0837
303.0|写|3738.0|0.0391|动词|v|44.1228
304.0|点|3728.0|0.039|名词|n|44.1618
305.0|位|3727.0|0.039|量词|q|44.2008
306.0|革命|3705.0|0.0388|动词|v|44.2396
307.0|结果|3698.0|0.0387|名词|n|44.2783
308.0|声|3693.0|0.0386|名词|n|44.3169
309.0|知识|3677.0|0.0385|名词|n|44.3554
310.0|分析|3675.0|0.0385|动词|v|44.3939
311.0|农业|3641.0|0.0381|名词|n|44.432
312.0|能力|3636.0|0.038|名词|n|44.47
313.0|同时|3615.0|0.0378|连词|c|44.5078
314.0|使用|3600.0|0.0377|动词|v|44.5455
315.0|注意|3598.0|0.0377|动词|v|44.5832
316.0|类|3593.0|0.0376|名词|n|44.6208
317.0|一点|3556.0|0.0372|数量|mq|44.658
318.0|讲|3534.0|0.037|动词|v|44.695
319.0|组织|3527.0|0.0369|名词|n|44.7319
320.0|美国|3520.0|0.0368|地名|ns|44.7687
321.0|先|3513.0|0.0368|副词|d|44.8055
322.0|今天|3509.0|0.0367|时间名词|nt|44.8422
323.0|实现|3496.0|0.0366|动词|v|44.8788
324.0|当时|3495.0|0.0366|时间名词|nt|44.9154
325.0|长|3495.0|0.0366|形容词|a|44.952
326.0|基本|3478.0|0.0364|形容词|a|44.9884
327.0|全国|3477.0|0.0364|名词|n|45.0248
328.0|建设|3470.0|0.0363|动词|v|45.0611
329.0|直接|3463.0|0.0362|形容词|a|45.0973
330.0|反映|3443.0|0.036|动词|v|45.1333
331.0|单位|3440.0|0.036|名词|n|45.1693
332.0|带|3436.0|0.036|动词|v|45.2053
333.0|基础|3430.0|0.0359|名词|n|45.2412
334.0|创造|3424.0|0.0358|动词|v|45.277
335.0|此|3415.0|0.0357|代词|r|45.3127
336.0|找|3402.0|0.0356|动词|v|45.3483
337.0|曾|3390.0|0.0355|副词|d|45.3838
338.0|只|3360.0|0.0352|量词|q|45.419
339.0|正|3357.0|0.0351|副词|d|45.4541
340.0|可是|3355.0|0.0351|连词|c|45.4892
341.0|说明|3344.0|0.035|动词|v|45.5242
342.0|因|3337.0|0.0349|连词|c|45.594
343.0|特点|3337.0|0.0349|名词|n|45.5591
344.0|部分|3328.0|0.0348|名词|n|45.6288
345.0|引起|3308.0|0.0346|动词|v|45.6634
346.0|具体|3301.0|0.0345|形容词|a|45.6979
347.0|比较|3296.0|0.0345|副词|d|45.7324
348.0|放|3290.0|0.0344|动词|v|45.7668
349.0|结合|3274.0|0.0343|动词|v|45.8011
350.0|包括|3265.0|0.0342|动词|v|45.8353
351.0|农民|3264.0|0.0342|名词|n|45.8695
352.0|参加|3259.0|0.0341|动词|v|45.9036
353.0|十分|3258.0|0.0341|副词|d|45.9377
354.0|作品|3258.0|0.0341|名词|n|45.9718
355.0|既|3250.0|0.034|连词|c|46.0058
356.0|正确|3244.0|0.0339|形容词|a|46.0397
357.0|表示|3236.0|0.0339|动词|v|46.0736
358.0|相|3236.0|0.0339|副词|d|46.1075
359.0|工人|3223.0|0.0337|名词|n|46.1412
360.0|心理|3223.0|0.0337|名词|n|46.1749
361.0|老|3207.0|0.0336|形容词|a|46.2085
362.0|太|3204.0|0.0335|副词|d|46.2755
363.0|任务|3204.0|0.0335|名词|n|46.309
364.0|为什么|3204.0|0.0335|代词|r|46.242
365.0|规律|3203.0|0.0335|名词|n|46.3425
366.0|觉得|3192.0|0.0334|动词|v|46.3759
367.0|于是|3187.0|0.0334|连词|c|46.4093
368.0|全|3186.0|0.0333|形容词|a|46.4426
369.0|一定|3184.0|0.0333|形容词|a|46.4759
370.0|不断|3182.0|0.0333|副词|d|46.5092
371.0|环境|3181.0|0.0333|名词|n|46.5425
372.0|经验|3173.0|0.0332|名词|n|46.5757
373.0|另|3149.0|0.033|代词|r|46.6087
374.0|青年|3148.0|0.0329|名词|n|46.6416
375.0|行为|3145.0|0.0329|名词|n|46.6745
376.0|规定|3140.0|0.0329|动词|v|46.7074
377.0|那些|3139.0|0.0328|代词|r|46.7402
378.0|当然|3137.0|0.0328|副词|d|46.773
379.0|制度|3131.0|0.0328|名词|n|46.8058
380.0|干部|3125.0|0.0327|名词|n|46.8385
381.0|政府|3121.0|0.0327|名词|n|46.8712
382.0|象|3120.0|0.0326|动词|v|46.9038
383.0|任何|3113.0|0.0326|代词|r|46.9364
384.0|变|3108.0|0.0325|动词|v|46.9689
385.0|性质|3108.0|0.0325|名词|n|47.0014
386.0|地|3105.0|0.0325|名词|n|47.0339
387.0|一|3104.0|0.0325|副词|d|47.0664
388.0|不仅|3099.0|0.0324|连词|c|47.0988
389.0|其中|3087.0|0.0323|方位名词|nd|47.1311
390.0|您|3065.0|0.0321|代词|r|47.1632
391.0|关于|3062.0|0.032|介词|p|47.1952
392.0|跟|3056.0|0.032|介词|p|47.2272
393.0|开|3054.0|0.032|动词|v|47.2592
394.0|心|3047.0|0.0319|名词|n|47.2911
395.0|眼睛|3036.0|0.0318|名词|n|47.3229
396.0|法律|3034.0|0.0317|名词|n|47.3546
397.0|至|3032.0|0.0317|动词|v|47.3863
398.0|六|3032.0|0.0317|数词|m|47.418
399.0|目的|3029.0|0.0317|名词|n|47.4497
400.0|先生|3022.0|0.0316|名词|n|47.4813
401.0|越|3018.0|0.0316|副词|d|47.5129
402.0|矛盾|3015.0|0.0316|名词|n|47.5445
403.0|坐|3010.0|0.0315|动词|v|47.576
404.0|资本主义|2987.0|0.0313|名词|n|47.6073
405.0|力量|2955.0|0.0309|名词|n|47.6382
406.0|因素|2950.0|0.0309|名词|n|47.6691
407.0|受到|2949.0|0.0309|动词|v|47.7
408.0|领导|2949.0|0.0309|名词|n|47.7309
409.0|按|2940.0|0.0308|介词|p|47.7617
410.0|整个|2935.0|0.0307|形容词|a|47.7924
411.0|实行|2927.0|0.0306|动词|v|47.823
412.0|学校|2927.0|0.0306|名词|n|47.8536
413.0|岁|2925.0|0.0306|时间名词|nt|47.8842
414.0|日本|2923.0|0.0306|地名|ns|47.9148
415.0|少|2921.0|0.0306|形容词|a|47.9454
416.0|只是|2912.0|0.0305|副词|d|47.9759
417.0|法|2907.0|0.0304|名词|n|48.0063
418.0|怎样|2896.0|0.0303|代词|r|48.0366
419.0|可|2894.0|0.0303|副词|d|48.0669
420.0|原则|2889.0|0.0302|名词|n|48.0971
421.0|快|2877.0|0.0301|形容词|a|48.1272
422.0|极|2869.0|0.03|副词|d|48.1572
423.0|阶段|2866.0|0.03|名词|n|48.1872
424.0|之后|2863.0|0.03|时间名词|nt|48.2172
